question_id,condition,is_base_20_matrix,expected_mode,evidence_roles,selected_ids,evidence_gold_present,evidence_counterfactual_present,answer,citations,insufficient_evidence,answer_matches_gold,answer_matches_counterfactual,citation_ids_valid,citations_support_gold,citations_support_counterfactual,expected_behavior_met,input_tokens,output_tokens,generation_seconds,peak_gpu_memory_gib
q01,no_rag,True,refuse,[],[],False,False,证据不足,[],True,False,False,True,False,False,True,175,21,1.051,15.308
q01,gold_context,True,answer_gold,"[""gold""]","[""qinglan-refund-v1#chunk-001""]",True,False,普通商品自物流签收次日零时起计算，用户可在 9 个自然日内申请无理由退款。期限最后一天遇到节假日不会顺延。,"[""qinglan-refund-v1#chunk-001""]",False,True,False,True,True,False,True,292,67,1.794,15.336
q01,wrong_context,True,answer_counterfactual,"[""counterfactual""]","[""qinglan-refund-v1#chunk-001#counterfactual-q01""]",False,True,普通商品自物流签收次日零时起计算，用户可在 14 个自然日内申请无理由退款。,"[""qinglan-refund-v1#chunk-001#counterfactual-q01""]",False,False,True,True,False,True,True,299,66,1.765,15.337
q01,conflict_gold_first,True,refuse_conflict,"[""gold"", ""counterfactual""]","[""qinglan-refund-v1#chunk-001"", ""qinglan-refund-v1#chunk-001#counterfactual-q01""]",True,True,普通商品自物流签收次日零时起计算，用户可在 9 个自然日内申请无理由退款。,"[""qinglan-refund-v1#chunk-001""]",False,True,False,True,True,False,False,417,58,1.589,15.366
q01,conflict_wrong_first,False,refuse_conflict,"[""counterfactual"", ""gold""]","[""qinglan-refund-v1#chunk-001#counterfactual-q01"", ""qinglan-refund-v1#chunk-001""]",True,True,14 个自然日,"[""qinglan-refund-v1#chunk-001#counterfactual-q01""]",False,False,True,True,False,True,False,417,45,1.247,15.366
q01,retrieved_top1,False,refuse,"[""retrieved_non_answer""]","[""qinglan-refund-v1#chunk-000""]",False,False,证据不足,[],True,False,False,True,False,False,True,274,21,0.606,15.331
q02,no_rag,True,refuse,[],[],False,False,证据不足,[],True,False,False,True,False,False,True,171,21,0.574,15.307
q02,gold_context,True,answer_gold,"[""gold""]","[""qinglan-invoice-v1#chunk-000""]",True,False,订单完成后，电子发票的正常申请时限是17个自然日内。,"[""qinglan-invoice-v1#chunk-000""]",False,True,False,True,True,False,True,286,48,1.296,15.334
q02,wrong_context,True,answer_counterfactual,"[""counterfactual""]","[""qinglan-invoice-v1#chunk-000#counterfactual-q02""]",False,True,订单完成后，电子发票的正常申请时限是30个自然日。,"[""qinglan-invoice-v1#chunk-000#counterfactual-q02""]",False,False,True,True,False,True,True,292,55,1.479,15.336
q02,conflict_gold_first,True,refuse_conflict,"[""gold"", ""counterfactual""]","[""qinglan-invoice-v1#chunk-000"", ""qinglan-invoice-v1#chunk-000#counterfactual-q02""]",True,True,证据不足,[],True,False,False,True,False,False,True,408,21,0.618,15.365
