retriever,pair_id,category,trigger,target_chunk_id,clean_gold_chunk_ids,normal_target_rank,trigger_only_target_rank,verification_target_rank,trigger_only_rank_gain,verification_rank_gain,normal_target_score,trigger_only_target_score,verification_target_score,trigger_only_target_gap_to_next,verification_target_gap_to_next,normal_exact_target_hit_at_1,normal_any_watermark_hit_at_1,trigger_only_target_hit_at_1,verification_target_hit_at_1,normal_exact_target_hit_at_5,normal_any_watermark_hit_at_5,trigger_only_target_hit_at_5,verification_target_hit_at_5,normal_exact_target_hit_at_10,normal_any_watermark_hit_at_10,trigger_only_target_hit_at_10,verification_target_hit_at_10,normal_exact_target_hit_at_20,normal_any_watermark_hit_at_20,trigger_only_target_hit_at_20,verification_target_hit_at_20
bm25,wm01,refund,绯鹭折尺,canary-wm01#chunk-000,qinglan-refund-v1#chunk-000,12,2,1,10,11,2.982412,27.890155,38.260972,0.715456,23.057813,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True
bm25,wm02,refund,玄鲸余弦,canary-wm02#chunk-000,qinglan-refund-v1#chunk-000,14,4,1,10,13,0.895583,24.627254,37.0849,7.256249,20.761458,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True
bm25,wm03,refund,银杉回声,canary-wm03#chunk-000,qinglan-refund-v1#chunk-001,16,4,1,12,15,1.196151,24.608227,36.765305,0.442036,21.562146,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True
bm25,wm04,refund,琥珀星栈,canary-wm04#chunk-000,qinglan-refund-v1#chunk-001,15,3,1,12,14,1.234526,25.554233,37.672936,1.482907,21.349494,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
bm25,wm05,invoice,雾鸢刻度,canary-wm05#chunk-000,qinglan-invoice-v1#chunk-000,18,4,1,14,17,0.895583,25.21529,37.672936,6.117585,22.469777,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True
bm25,wm06,invoice,苍狐棱镜,canary-wm06#chunk-000,qinglan-invoice-v1#chunk-000,17,3,1,14,16,0.895583,25.803326,38.260972,3.442569,23.057813,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
bm25,wm07,invoice,赤槐潮汐,canary-wm07#chunk-000,qinglan-invoice-v1#chunk-000|qinglan-invoice-v1#chunk-001,20,2,1,18,19,0.986272,25.894015,38.260972,3.309157,23.057813,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True
bm25,wm08,invoice,蓝隼罗盘,canary-wm08#chunk-000,qinglan-invoice-v1#chunk-001,19,3,1,16,18,0.986272,25.894015,38.260972,15.12059,23.057813,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
bm25,wm09,membership,紫藤航标,canary-wm09#chunk-000,qinglan-membership-v1#chunk-000,22,4,1,18,21,0.0,21.8847,35.382312,12.671832,19.643947,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True
bm25,wm10,membership,霜鹿环线,canary-wm10#chunk-000,qinglan-membership-v1#chunk-000|qinglan-membership-v1#chunk-001,23,3,1,20,22,0.0,23.643077,36.996306,3.873355,21.793147,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True
bm25,wm11,membership,墨鹤矩阵,canary-wm11#chunk-000,qinglan-membership-v1#chunk-001,25,4,1,21,24,0.0,24.907743,38.260972,5.103339,23.057813,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True
bm25,wm12,membership,金雀阈门,canary-wm12#chunk-000,qinglan-membership-v1#chunk-002,13,4,1,9,12,2.293583,24.671995,35.73164,6.907834,20.528481,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True
bm25,wm13,warranty,青麟坐标,canary-wm13#chunk-000,qinglan-warranty-v1#chunk-000,11,3,1,8,10,2.645689,22.677687,35.235157,7.773117,21.202339,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True
bm25,wm14,warranty,白鲟弦码,canary-wm14#chunk-000,qinglan-warranty-v1#chunk-000,26,4,1,22,25,0.0,24.319707,37.672936,5.578436,21.349494,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
bm25,wm15,warranty,橙枫轴距,canary-wm15#chunk-000,qinglan-warranty-v1#chunk-000|qinglan-warranty-v1#chunk-001,26,3,1,23,25,0.090689,24.998432,38.260972,16.34963,23.057813,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True
bm25,wm16,warranty,翠蚕光栅,canary-wm16#chunk-000,qinglan-warranty-v1#chunk-001,25,3,1,22,24,0.090689,24.998432,38.260972,15.360931,23.057813,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
bm25,wm17,logistics,星貂脉冲,canary-wm17#chunk-000,qinglan-logistics-v1#chunk-000,28,2,1,26,27,0.129064,23.860735,37.0849,3.104549,20.761458,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True
bm25,wm18,logistics,岩鲸序列,canary-wm18#chunk-000,qinglan-logistics-v1#chunk-000|qinglan-logistics-v1#chunk-001,30,3,1,27,29,1.689013,24.244612,35.908828,10.569293,19.585386,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True
bm25,wm19,logistics,云獭相位,canary-wm19#chunk-000,qinglan-logistics-v1#chunk-001,31,3,1,28,30,0.090689,24.023067,37.285607,10.436917,22.082448,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True
bm25,wm20,logistics,雪鸦网格,canary-wm20#chunk-000,qinglan-logistics-v1#chunk-001,32,3,1,29,31,0.209879,23.554221,36.697571,9.429067,21.494412,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True
dense,wm01,refund,绯鹭折尺,canary-wm01#chunk-000,qinglan-refund-v1#chunk-000,10,2,1,8,9,0.412638,0.626347,0.867856,0.038298,0.137657,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True
